"","presentationnum","participant","verb","condition","word","word_num","duration","meanIntensity","meanpit"
"258",8,"A1299WL9DI3TEF","ItemDory","Verb","POKING",5,0.409,"63.782","123.925"
"259",8,"A1299WL9DI3TEF","ItemDory","Verb","DONNY",6,0.409,"70.580","108.883"
"260",8,"A1299WL9DI3TEF","ItemDory","Verb","sp",7,0.249,"19.323","--undefined--"
"261",10,"A14EYTLSMJRPUK","ItemDory","Agent","sp",1,0.718,"14.763","106.701"
"262",10,"A14EYTLSMJRPUK","ItemDory","Agent","NO",2,0.299,"78.465","119.407"
"263",10,"A14EYTLSMJRPUK","ItemDory","Agent","DORY",3,0.439,"78.272","140.810"
"264",10,"A14EYTLSMJRPUK","ItemDory","Agent","IS",4,0.18,"71.356","117.160"
"265",10,"A14EYTLSMJRPUK","ItemDory","Agent","POKING",5,0.349,"72.400","99.395"
"266",10,"A14EYTLSMJRPUK","ItemDory","Agent","DONNY",6,0.549,"0.524","86.652"
"267",10,"A14EYTLSMJRPUK","ItemDory","Agent","sp",7,0.279,"-98.108","--undefined--"
"268",12,"A14EYTLSMJRPUK","ItemBonnie","YesControl","sp",1,0.16,"-38.919","--undefined--"
"269",12,"A14EYTLSMJRPUK","ItemBonnie","YesControl","YES",2,1.018,"-85.456","123.134"
"270",12,"A14EYTLSMJRPUK","ItemBonnie","YesControl","BONNIE",3,0.239,"80.769","135.966"
"271",12,"A14EYTLSMJRPUK","ItemBonnie","YesControl","IS",4,0.21,"70.789","117.592"
